method,true_label,pred_label,count
persistence,RISK_ASSET,RISK_ASSET,850
persistence,RISK_ASSET,HARD_ASSET,0
persistence,RISK_ASSET,IDIOSYNCRATIC,5
persistence,RISK_ASSET,MIXED,15
persistence,HARD_ASSET,RISK_ASSET,10
persistence,HARD_ASSET,HARD_ASSET,98
persistence,HARD_ASSET,IDIOSYNCRATIC,0
persistence,HARD_ASSET,MIXED,0
persistence,IDIOSYNCRATIC,RISK_ASSET,0
persistence,IDIOSYNCRATIC,HARD_ASSET,0
persistence,IDIOSYNCRATIC,IDIOSYNCRATIC,427
persistence,IDIOSYNCRATIC,MIXED,10
persistence,MIXED,RISK_ASSET,10
persistence,MIXED,HARD_ASSET,4
persistence,MIXED,IDIOSYNCRATIC,10
persistence,MIXED,MIXED,261
majority_class,RISK_ASSET,RISK_ASSET,0
majority_class,RISK_ASSET,HARD_ASSET,0
majority_class,RISK_ASSET,IDIOSYNCRATIC,870
majority_class,RISK_ASSET,MIXED,0
majority_class,HARD_ASSET,RISK_ASSET,0
majority_class,HARD_ASSET,HARD_ASSET,0
majority_class,HARD_ASSET,IDIOSYNCRATIC,108
majority_class,HARD_ASSET,MIXED,0
majority_class,IDIOSYNCRATIC,RISK_ASSET,0
majority_class,IDIOSYNCRATIC,HARD_ASSET,0
majority_class,IDIOSYNCRATIC,IDIOSYNCRATIC,437
majority_class,IDIOSYNCRATIC,MIXED,0
majority_class,MIXED,RISK_ASSET,0
majority_class,MIXED,HARD_ASSET,0
majority_class,MIXED,IDIOSYNCRATIC,285
majority_class,MIXED,MIXED,0
logistic_regression,RISK_ASSET,RISK_ASSET,594
logistic_regression,RISK_ASSET,HARD_ASSET,32
logistic_regression,RISK_ASSET,IDIOSYNCRATIC,234
logistic_regression,RISK_ASSET,MIXED,10
logistic_regression,HARD_ASSET,RISK_ASSET,7
logistic_regression,HARD_ASSET,HARD_ASSET,23
logistic_regression,HARD_ASSET,IDIOSYNCRATIC,73
logistic_regression,HARD_ASSET,MIXED,5
logistic_regression,IDIOSYNCRATIC,RISK_ASSET,0
logistic_regression,IDIOSYNCRATIC,HARD_ASSET,0
logistic_regression,IDIOSYNCRATIC,IDIOSYNCRATIC,422
logistic_regression,IDIOSYNCRATIC,MIXED,15
logistic_regression,MIXED,RISK_ASSET,27
logistic_regression,MIXED,HARD_ASSET,1
logistic_regression,MIXED,IDIOSYNCRATIC,146
logistic_regression,MIXED,MIXED,111
decision_tree,RISK_ASSET,RISK_ASSET,726
decision_tree,RISK_ASSET,HARD_ASSET,8
decision_tree,RISK_ASSET,IDIOSYNCRATIC,5
decision_tree,RISK_ASSET,MIXED,131
decision_tree,HARD_ASSET,RISK_ASSET,5
decision_tree,HARD_ASSET,HARD_ASSET,25
decision_tree,HARD_ASSET,IDIOSYNCRATIC,0
decision_tree,HARD_ASSET,MIXED,78
decision_tree,IDIOSYNCRATIC,RISK_ASSET,2
decision_tree,IDIOSYNCRATIC,HARD_ASSET,0
decision_tree,IDIOSYNCRATIC,IDIOSYNCRATIC,421
decision_tree,IDIOSYNCRATIC,MIXED,14
decision_tree,MIXED,RISK_ASSET,17
decision_tree,MIXED,HARD_ASSET,0
decision_tree,MIXED,IDIOSYNCRATIC,11
decision_tree,MIXED,MIXED,257
