fold,method,n_test,accuracy,balanced_accuracy,macro_f1
1,persistence,340,0.9441176470588235,0.9106118217960324,0.907060605044476
1,majority_class,340,0.38823529411764707,0.25,0.13983050847457626
1,logistic_regression,340,0.4,0.4152711323763955,0.2835308502633559
1,decision_tree,340,0.4323529411764706,0.49242424242424243,0.28354483219235266
2,persistence,340,0.9705882352941176,0.978161900697112,0.7203383218830743
2,majority_class,340,0.09705882352941177,0.3333333333333333,0.04423592493297587
2,logistic_regression,340,0.18235294117647058,0.397154645041969,0.1332630961960679
2,decision_tree,340,0.9088235294117647,0.9136861573481291,0.6821775872097215
3,persistence,340,0.9705882352941176,0.9544117647058824,0.7163247418362829
3,majority_class,340,0.4,0.3333333333333333,0.14285714285714285
3,logistic_regression,340,0.8852941176470588,0.8916412019353196,0.6911664085970275
3,decision_tree,340,0.9470588235294117,0.9052941176470588,0.6871135618301072
4,persistence,340,0.9705882352941176,0.9150849150849151,0.6851872886523389
4,majority_class,340,0.4,0.3333333333333333,0.14285714285714285
4,logistic_regression,340,0.9705882352941176,0.9150849150849151,0.6851872886523389
4,decision_tree,340,0.9588235294117647,0.9052809935162877,0.6653596809411573
5,persistence,340,0.9558823529411765,0.8810419819746117,0.6775555223831086
5,majority_class,340,0.0,0.0,0.0
5,logistic_regression,340,0.9441176470588235,0.8358312540052631,0.6550909644497523
5,decision_tree,340,0.9558823529411765,0.8810419819746117,0.6775555223831086
