calendar_year,pair,avg_correlation,n_days
2018,BTC_GOLD,-0.14090535681719524,140
2018,BTC_NASDAQ,0.01873390264777535,140
2019,BTC_GOLD,0.22746363689989885,252
2019,BTC_NASDAQ,-0.09160023005786454,252
2020,BTC_GOLD,0.3128259874852435,253
2020,BTC_NASDAQ,0.37720423547707355,253
2021,BTC_GOLD,0.007020106658528109,252
2021,BTC_NASDAQ,0.2522326972042378,252
2022,BTC_GOLD,0.10791435808435833,251
2022,BTC_NASDAQ,0.5686719898419824,251
2023,BTC_GOLD,0.15004021849655705,250
2023,BTC_NASDAQ,0.2699676606470321,250
2024,BTC_GOLD,0.040105052684455834,252
2024,BTC_NASDAQ,0.25860549178673126,252
2025,BTC_GOLD,0.08659033373229848,250
2025,BTC_NASDAQ,0.4609335713607826,250
2026,BTC_GOLD,0.28745999992546034,178
2026,BTC_NASDAQ,0.5030988435070529,178
