date,correlation_change,fng_value,fng_label
2020-03-12,0.3147805189553747,14.0,Extreme Fear
2020-07-21,-0.19064387821583106,44.0,Fear
2022-06-13,0.17535239254531315,11.0,Extreme Fear
2025-03-25,0.16877745868866534,46.0,Fear
2022-10-20,-0.1246600607627337,23.0,Extreme Fear
2023-07-21,-0.11675965486600473,50.0,Neutral
2020-07-28,0.11665179276474677,76.0,Extreme Greed
2024-11-06,-0.11633149539138342,70.0,Greed
2023-07-27,-0.11235948012150397,51.0,Neutral
2022-11-08,-0.10972895859873696,31.0,Fear
2020-03-13,-0.10328429995102706,10.0,Extreme Fear
2025-08-19,-0.10313650998668009,56.0,Greed
2023-12-04,-0.10039326096796385,74.0,Greed
2025-03-20,0.0987543744401534,49.0,Neutral
2024-11-11,-0.09656266376420164,76.0,Extreme Greed
2026-01-20,-0.09423780884652323,32.0,Fear
2020-07-22,0.0925533536471621,50.0,Neutral
2025-04-09,0.09181816536462092,18.0,Extreme Fear
2022-05-09,0.0886771746515659,11.0,Extreme Fear
2019-07-01,0.08772874412512385,65.0,Greed
