regime_id,regime_label,start_date,end_date,n_days
1,IDIOSYNCRATIC,2018-06-12,2019-03-27,199
2,MIXED,2019-03-28,2019-10-25,148
3,IDIOSYNCRATIC,2019-10-28,2020-03-11,93
4,RISK_ASSET,2020-03-12,2020-08-18,111
5,HARD_ASSET,2020-08-19,2020-12-11,81
6,MIXED,2020-12-14,2021-01-12,20
7,IDIOSYNCRATIC,2021-01-13,2021-05-11,82
8,MIXED,2021-05-12,2022-01-10,169
9,RISK_ASSET,2022-01-11,2023-03-22,300
10,MIXED,2023-03-23,2023-06-02,50
11,IDIOSYNCRATIC,2023-06-05,2024-07-08,274
12,MIXED,2024-07-09,2024-08-07,22
13,RISK_ASSET,2024-08-08,2025-08-18,257
14,MIXED,2025-08-19,2025-09-29,29
15,RISK_ASSET,2025-09-30,2026-08-05,213
16,HARD_ASSET,2026-08-06,2026-09-17,30
