nasdaq_threshold,gold_threshold,n_regime_periods,shift_survives_2026,share_RISK_ASSET,share_HARD_ASSET,share_IDIOSYNCRATIC,share_MIXED
0.3,0.25,13,True,0.4600577478344562,0.136669874879692,0.32001924927815206,0.08325312800769971
0.3,0.3,13,True,0.4600577478344562,0.06544754571703561,0.383060635226179,0.09143407122232916
0.3,0.35,14,True,0.4624639076034649,0.0534167468719923,0.32001924927815206,0.16410009624639077
0.3,0.4,14,True,0.4639076034648701,0.04764196342637151,0.32001924927815206,0.16843118383060635
0.3,0.45,15,True,0.4600577478344562,0.03897978825794033,0.32001924927815206,0.1809432146294514
0.35,0.25,13,True,0.45187680461982677,0.136669874879692,0.31183830606352264,0.09961501443695861
0.35,0.3,13,True,0.45187680461982677,0.06544754571703561,0.3748796920115496,0.10779595765158806
0.35,0.35,14,True,0.4542829643888354,0.0534167468719923,0.31183830606352264,0.18046198267564967
0.35,0.4,14,True,0.4557266602502406,0.04764196342637151,0.31183830606352264,0.18479307025986524
0.35,0.45,15,True,0.45187680461982677,0.03897978825794033,0.31183830606352264,0.1973051010587103
0.4,0.25,15,True,0.4215591915303176,0.136669874879692,0.31183830606352264,0.12993262752646775
0.4,0.3,15,True,0.4215591915303176,0.06544754571703561,0.3748796920115496,0.1381135707410972
0.4,0.35,16,True,0.4239653512993263,0.0534167468719923,0.31183830606352264,0.2107795957651588
0.4,0.4,17,True,0.41482194417709334,0.04764196342637151,0.31183830606352264,0.22569778633301252
0.4,0.45,17,True,0.41482194417709334,0.03897978825794033,0.31183830606352264,0.2343599615014437
0.45,0.25,15,True,0.32435033686236764,0.136669874879692,0.31183830606352264,0.2271414821944177
0.45,0.3,15,True,0.32435033686236764,0.06544754571703561,0.3748796920115496,0.23532242540904716
0.45,0.35,16,True,0.32675649663137635,0.0534167468719923,0.31183830606352264,0.30798845043310874
0.45,0.4,17,True,0.3171318575553417,0.04764196342637151,0.31183830606352264,0.3233878729547642
0.45,0.45,17,True,0.3171318575553417,0.03897978825794033,0.31183830606352264,0.3320500481231954
0.5,0.25,14,True,0.253609239653513,0.136669874879692,0.31183830606352264,0.2978825794032724
0.5,0.3,14,True,0.253609239653513,0.06544754571703561,0.3748796920115496,0.3060635226179018
0.5,0.35,15,True,0.25601539942252166,0.0534167468719923,0.31183830606352264,0.3787295476419634
0.5,0.4,16,True,0.24590952839268526,0.04764196342637151,0.31183830606352264,0.3946102021174206
0.5,0.45,16,True,0.24590952839268526,0.03897978825794033,0.31183830606352264,0.4032723772858518
