date,horizon_days,sentiment_bucket,fng_value,forward_log_return
2018-02-02,1,EXTREME_FEAR,15.0,-0.23874030029910423
2018-02-05,1,EXTREME_FEAR,11.0,0.10870919082663183
2018-02-06,1,EXTREME_FEAR,8.0,-0.017261906053983644
2018-02-07,1,MODERATE,36.0,0.08115416198669995
2018-02-08,1,MODERATE,30.0,0.05546355066788704
2018-02-09,1,MODERATE,44.0,0.021467611717940465
2018-02-12,1,MODERATE,42.0,-0.03746663522015055
2018-02-13,1,MODERATE,35.0,0.09916074093751738
2018-02-14,1,MODERATE,55.0,0.06836184023155013
2018-02-15,1,MODERATE,71.0,0.006617573638271063
2018-02-16,1,MODERATE,67.0,0.1082321041179471
2018-02-20,1,MODERATE,74.0,-0.06459170224791025
2018-02-21,1,MODERATE,54.0,-0.06626121098880938
2018-02-22,1,MODERATE,44.0,0.029165679693390664
2018-02-23,1,MODERATE,39.0,0.006348117057278654
2018-02-26,1,MODERATE,37.0,0.03403460609897371
2018-02-27,1,MODERATE,44.0,-0.03102947063646394
2018-02-28,1,MODERATE,41.0,0.05182687604474617
2018-03-01,1,MODERATE,38.0,0.012288390831968726
2018-03-02,1,MODERATE,47.0,0.04298153693384055
2018-03-05,1,MODERATE,55.0,-0.07101737882303372
2018-03-06,1,MODERATE,59.0,-0.0785471416488412
2018-03-07,1,MODERATE,37.0,-0.05895751127349285
2018-03-08,1,MODERATE,39.0,-0.006134788034011313
2018-03-09,1,MODERATE,37.0,-0.014284020556032829
2018-03-12,1,MODERATE,41.0,-0.0011163614975213598
2018-03-13,1,MODERATE,41.0,-0.10603202002040293
2018-03-14,1,MODERATE,40.0,0.0037476840392196564
2018-03-15,1,MODERATE,32.0,0.004506141978666486
2018-03-16,1,MODERATE,33.0,0.03445455795110484
2018-03-19,1,MODERATE,29.0,0.03224371887087316
2018-03-20,1,MODERATE,37.0,0.0017722101148143973
2018-03-21,1,MODERATE,36.0,-0.022745729727735496
2018-03-22,1,MODERATE,36.0,0.01716871105996537
2018-03-23,1,MODERATE,28.0,-0.07847888972440469
2018-03-26,1,MODERATE,31.0,-0.046929196809366094
2018-03-27,1,MODERATE,24.0,0.015384599545304772
2018-03-28,1,MODERATE,24.0,-0.10442950860100436
2018-03-29,1,EXTREME_FEAR,18.0,-0.01149532159013597
2018-04-02,1,EXTREME_FEAR,11.0,0.051223352843477454
2018-04-03,1,MODERATE,22.0,-0.0842247558070548
2018-04-04,1,MODERATE,22.0,-0.006201068910304808
2018-04-05,1,EXTREME_FEAR,17.0,-0.02605042094133808
2018-04-06,1,EXTREME_FEAR,19.0,0.02005134038409012
2018-04-09,1,MODERATE,21.0,0.00941241499855583
2018-04-10,1,EXTREME_FEAR,18.0,0.01935281561415031
2018-04-11,1,EXTREME_FEAR,20.0,0.12412693581038275
2018-04-12,1,EXTREME_FEAR,18.0,0.0008501580097129702
2018-04-13,1,MODERATE,23.0,0.020397289485947018
2018-04-17,1,MODERATE,26.0,0.03253592757494633
2018-04-18,1,MODERATE,24.0,0.015906496489625957
2018-04-19,1,MODERATE,25.0,0.06437648463049019
2018-04-20,1,MODERATE,26.0,0.009568750776767585
2018-04-23,1,MODERATE,28.0,0.08235319918742609
2018-04-24,1,MODERATE,29.0,-0.09193210663750347
2018-04-25,1,MODERATE,64.0,0.04808821013231678
2018-04-26,1,MODERATE,47.0,-0.0322395933068439
2018-04-27,1,MODERATE,55.0,0.027816756035231743
2018-04-30,1,MODERATE,59.0,-0.01324016669459219
2018-05-01,1,MODERATE,56.0,0.012739001376982891
2018-05-02,1,MODERATE,52.0,0.05353715789106724
2018-05-03,1,MODERATE,55.0,-0.004433170333562976
2018-05-04,1,MODERATE,56.0,-0.034369951142338984
2018-05-07,1,MODERATE,56.0,-0.014853101418770562
2018-05-08,1,MODERATE,62.0,0.009737078547251641
2018-05-09,1,MODERATE,53.0,-0.03062326710905233
2018-05-10,1,MODERATE,63.0,-0.0689361065966995
2018-05-11,1,MODERATE,41.0,0.03209219428812594
2018-05-14,1,MODERATE,40.0,-0.02396447419619404
2018-05-15,1,MODERATE,40.0,-0.01677248204784669
2018-05-16,1,MODERATE,32.0,-0.03335153970564195
2018-05-17,1,MODERATE,31.0,0.019168176638719434
2018-05-18,1,MODERATE,37.0,0.02015916035151326
2018-05-21,1,MODERATE,41.0,-0.04583947139821304
2018-05-22,1,MODERATE,30.0,-0.062067659444725726
2018-05-23,1,MODERATE,26.0,0.0038982826938899207
2018-05-24,1,MODERATE,27.0,-0.014229521588760119
2018-05-25,1,MODERATE,25.0,-0.0010098883107377
2018-05-29,1,EXTREME_FEAR,16.0,-0.008880942351451787
2018-05-30,1,MODERATE,38.0,0.011764678499798065
2018-05-31,1,MODERATE,25.0,0.006289122618005127
2018-06-01,1,MODERATE,24.0,-0.0035839734288263536
2018-06-04,1,MODERATE,41.0,0.015749961130953755
2018-06-05,1,MODERATE,26.0,0.0026452866114361484
2018-06-06,1,MODERATE,42.0,0.003164613319278059
2018-06-07,1,MODERATE,38.0,-0.006968564365645913
2018-06-08,1,MODERATE,40.0,-0.09889802411309354
2018-06-11,1,EXTREME_FEAR,15.0,-0.048130473399383256
2018-06-12,1,EXTREME_FEAR,19.0,-0.03595427350674796
2018-06-13,1,EXTREME_FEAR,19.0,0.049982602628063255
2018-06-14,1,EXTREME_FEAR,17.0,-0.03332187405601145
2018-06-15,1,MODERATE,26.0,0.042191279404934445
2018-06-18,1,MODERATE,27.0,0.005201158253766047
2018-06-19,1,MODERATE,32.0,0.0009758784644155472
2018-06-20,1,MODERATE,34.0,-0.006931549314601104
2018-06-21,1,MODERATE,37.0,-0.10092513460307667
2018-06-22,1,MODERATE,28.0,0.026838873122114137
2018-06-25,1,EXTREME_FEAR,16.0,-0.025199768617492124
2018-06-26,1,MODERATE,21.0,0.01036022620030752
2018-06-27,1,EXTREME_FEAR,18.0,-0.042075518926673605
2018-06-28,1,EXTREME_FEAR,20.0,0.05196130416250111
2018-06-29,1,EXTREME_FEAR,16.0,0.061719329676020895
2018-07-02,1,MODERATE,27.0,-0.01287172551286736
2018-07-03,1,MODERATE,31.0,0.01663832736937998
2018-07-05,1,MODERATE,37.0,0.005162002311365543
2018-07-06,1,MODERATE,34.0,0.010175075207412176
2018-07-09,1,MODERATE,39.0,-0.06302716705344924
2018-07-10,1,MODERATE,37.0,0.010178711879892055
2018-07-11,1,MODERATE,29.0,-0.026285767240593783
2018-07-12,1,MODERATE,33.0,0.001482289507841239
2018-07-13,1,MODERATE,29.0,0.07765193290630984
2018-07-16,1,MODERATE,36.0,0.08243286458020968
2018-07-17,1,MODERATE,39.0,0.006771106197490967
2018-07-18,1,MODERATE,42.0,0.012951038487558242
2018-07-19,1,MODERATE,44.0,-0.015212500162381487
2018-07-20,1,MODERATE,47.0,0.047400084111851426
2018-07-23,1,MODERATE,44.0,0.0884546416030793
2018-07-24,1,MODERATE,49.0,-0.029254690417220938
2018-07-25,1,MODERATE,54.0,-0.028491418656974188
2018-07-26,1,MODERATE,53.0,0.026487261573524185
2018-07-27,1,MODERATE,47.0,0.0018929037555089345
2018-07-30,1,MODERATE,53.0,-0.05013794188199755
2018-07-31,1,MODERATE,48.0,-0.020192344692957165
2018-08-01,1,MODERATE,39.0,-0.00760404211125737
2018-08-02,1,MODERATE,39.0,-0.017699946974245928
2018-08-03,1,MODERATE,36.0,-0.06711595979730206
2018-08-06,1,MODERATE,25.0,-0.028995953086401516
2018-08-07,1,MODERATE,25.0,-0.0685348238477207
2018-08-08,1,MODERATE,23.0,0.040774573013564686
2018-08-09,1,EXTREME_FEAR,19.0,-0.06016427603596319
2018-08-10,1,MODERATE,21.0,0.018083705994485055
2018-08-13,1,MODERATE,21.0,-0.015661306329478597
2018-08-14,1,EXTREME_FEAR,16.0,0.017398593339543023
2018-08-15,1,EXTREME_FEAR,18.0,0.004146085616168971
2018-08-16,1,MODERATE,21.0,0.03808327820833696
2018-08-17,1,EXTREME_FEAR,19.0,-0.04222781581999613
2018-08-20,1,MODERATE,26.0,0.028168761359932237
2018-08-21,1,EXTREME_FEAR,19.0,-0.017419128922692984
2018-08-22,1,MODERATE,21.0,0.02450168206824127
2018-08-23,1,EXTREME_FEAR,18.0,0.0279282300110974
2018-08-24,1,EXTREME_FEAR,19.0,0.024210666766910083
2018-08-27,1,EXTREME_FEAR,18.0,0.030277809712914827
2018-08-28,1,EXTREME_FEAR,19.0,-0.006945951847084575
2018-08-29,1,EXTREME_FEAR,19.0,-0.009829420799983113
2018-08-30,1,MODERATE,22.0,0.008469072019252843
2018-08-31,1,EXTREME_FEAR,17.0,0.045021099837277645
2018-09-04,1,MODERATE,26.0,-0.08041781637747242
2018-09-05,1,EXTREME_FEAR,17.0,-0.03958783805725852
2018-09-06,1,EXTREME_FEAR,14.0,-0.00955669816881799
2018-09-07,1,EXTREME_FEAR,17.0,-0.02147024688465038
2018-09-10,1,EXTREME_FEAR,15.0,-0.0013437780737510785
2018-09-11,1,EXTREME_FEAR,18.0,0.004829112103060529
2018-09-12,1,EXTREME_FEAR,14.0,0.025723516554865877
2018-09-13,1,EXTREME_FEAR,20.0,-0.0007060768656482752
2018-09-14,1,MODERATE,23.0,-0.036194570119663094
2018-09-17,1,MODERATE,25.0,0.014242423616418198
2018-09-18,1,MODERATE,21.0,0.0042663457062144805
2018-09-19,1,MODERATE,24.0,0.018753903731685506
2018-09-20,1,MODERATE,24.0,0.03248666575188541
