horizon_days,sentiment_bucket,n,mean_forward_log_return,median_forward_log_return,std_forward_log_return
1,EXTREME_FEAR,292,0.0016998618342319997,0.003241315737624012,0.05425915961721707
1,EXTREME_GREED,117,0.010329282701507451,0.010198176486275967,0.052687823398057956
1,MODERATE,1756,0.00026909320286501004,7.615770764135554e-06,0.03573253123472157
5,EXTREME_FEAR,292,0.009815716742889277,0.013474372832021075,0.10236394731024506
5,EXTREME_GREED,117,0.04061625080262016,0.03067187850014319,0.12045277799573634
5,MODERATE,1752,0.0020942756039293033,0.0010767219886322899,0.08411642593091286
20,EXTREME_FEAR,292,0.03158730952847861,0.033386863593749094,0.16697090238044304
20,EXTREME_GREED,117,0.1440444991165934,0.1165396543824384,0.21695285116185914
20,MODERATE,1737,0.00917203607504085,0.006373160580787518,0.18394564050139908
60,EXTREME_FEAR,284,-1.2181144142552351e-05,-0.024503726266223352,0.26573879620663843
60,EXTREME_GREED,117,0.34037443889348606,0.19336148088508498,0.48735119772135954
60,MODERATE,1705,0.04903228392210071,0.02761620253534547,0.3443328404472556
